City ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
322,cururupu,-1.8283,-44.8683,76.78,89,100,3.53,BR,1612054231
323,sao filipe,14.8961,-24.4956,74.12,61,100,9.13,CV,1612054052
324,yarada,17.65,83.2667,71.6,100,40,2.3,IN,1612054231
325,zhob,31.3411,69.4481,43.54,52,0,1.86,PK,1612054231
326,sturgeon bay,44.8342,-87.377,30.2,93,90,10.36,US,1612054186
327,port hardy,50.6996,-127.4199,46.4,81,90,23.02,CA,1612054232
328,poya,-21.35,165.15,83.44,54,14,7.31,NC,1612054232
329,luzhou,28.8724,105.4405,50.61,76,100,0.29,CN,1612054232
330,dourbali,11.8091,15.8632,70.47,21,0,10.63,TD,1612054232
331,arlit,18.7369,7.3853,60.24,27,0,6.62,NE,1612054233
332,gizo,-8.103,156.8419,86.2,70,100,19.22,SB,1612054233
333,marawi,7.9986,124.2928,80.01,80,76,3.0,PH,1612054233
334,itaituba,-4.2761,-55.9836,73.71,96,100,1.36,BR,1612054233
335,shingu,33.7333,135.9833,48.2,66,40,13.8,JP,1612054234
336,kununurra,-15.7667,128.7333,82.4,94,75,8.05,AU,1612054210
337,rokytne,51.2796,27.214,23.95,98,88,9.1,UA,1612054234
338,grindavik,63.8424,-22.4338,21.2,73,0,6.91,IS,1612054145
339,vanimo,-2.6741,141.3028,85.28,66,100,8.32,PG,1612054234
340,lorengau,-2.0226,147.2712,83.5,79,100,10.83,PG,1612054042
341,ivybridge,50.3904,-3.9191,41.0,95,61,8.01,GB,1612054235
342,raudeberg,61.9875,5.1352,32.0,94,100,8.99,NO,1612054055
343,dogondoutchi,13.6393,4.0287,69.13,20,72,10.36,NE,1612053960
344,thai binh,20.45,106.3333,66.2,88,75,5.75,VN,1612054236
345,hailar,49.2,119.7,-15.88,88,100,6.69,CN,1612054236
346,samagaltay,50.6022,95.0047,-5.91,81,0,5.61,RU,1612054236
347,brae,60.3964,-1.353,33.8,93,75,1.14,GB,1612054074
348,marsaxlokk,35.8419,14.5431,59.0,94,0,12.66,MT,1612054236
349,muroto,33.2833,134.15,41.0,75,40,8.05,JP,1612054237
350,maarianhamina,60.0973,19.9348,26.6,93,90,11.5,AX,1612054237
351,kitimat,54.0524,-128.6534,28.0,78,100,5.55,CA,1612054237
352,rawson,-43.3002,-65.1023,60.66,59,22,14.81,AR,1612054237
353,juneau,58.3019,-134.4197,32.0,100,100,5.21,US,1612054153
